BioProject,Run,EV_type,Source,disease,Disease_stage/treatment,Release_date,URL,EV isolated method,Project_Title,Project_Description
PRJNA838770,SRR19278993,sEV,Blood|Plasma,-,-,2022-05-18,https://pubmed.ncbi.nlm.nih.gov/36032099/,"The size exclusion method (SEC) was used to separate the exosomes. Briefly, after 0.8 μm filtration, 1 ml plasma sample was diluted with 1.5 times PBS and then purified by Exosupur exclusion column (Echobiotech, China) following the manufacturer’s instructions. The sample was then eluted with 0.1M PBS, and 2ml of the target fraction was collected. Finally, the exosome solution was concentrated (200 μL) through an Amicon® ultrafiltration tube with a molecular weight cutoff of 100kDa (Merck, Germany).",Homo sapiens (human),get samples from human
PRJNA838770,SRR19278994,sEV,Blood|Plasma,-,-,2022-05-18,https://pubmed.ncbi.nlm.nih.gov/36032099/,"The size exclusion method (SEC) was used to separate the exosomes. Briefly, after 0.8 μm filtration, 1 ml plasma sample was diluted with 1.5 times PBS and then purified by Exosupur exclusion column (Echobiotech, China) following the manufacturer’s instructions. The sample was then eluted with 0.1M PBS, and 2ml of the target fraction was collected. Finally, the exosome solution was concentrated (200 μL) through an Amicon® ultrafiltration tube with a molecular weight cutoff of 100kDa (Merck, Germany).",Homo sapiens (human),get samples from human
PRJNA838770,SRR19278995,sEV,Blood|Plasma,-,-,2022-05-18,https://pubmed.ncbi.nlm.nih.gov/36032099/,"The size exclusion method (SEC) was used to separate the exosomes. Briefly, after 0.8 μm filtration, 1 ml plasma sample was diluted with 1.5 times PBS and then purified by Exosupur exclusion column (Echobiotech, China) following the manufacturer’s instructions. The sample was then eluted with 0.1M PBS, and 2ml of the target fraction was collected. Finally, the exosome solution was concentrated (200 μL) through an Amicon® ultrafiltration tube with a molecular weight cutoff of 100kDa (Merck, Germany).",Homo sapiens (human),get samples from human
PRJNA838770,SRR19278996,sEV,Blood|Plasma,-,-,2022-05-18,https://pubmed.ncbi.nlm.nih.gov/36032099/,"The size exclusion method (SEC) was used to separate the exosomes. Briefly, after 0.8 μm filtration, 1 ml plasma sample was diluted with 1.5 times PBS and then purified by Exosupur exclusion column (Echobiotech, China) following the manufacturer’s instructions. The sample was then eluted with 0.1M PBS, and 2ml of the target fraction was collected. Finally, the exosome solution was concentrated (200 μL) through an Amicon® ultrafiltration tube with a molecular weight cutoff of 100kDa (Merck, Germany).",Homo sapiens (human),get samples from human
PRJNA838770,SRR19278997,sEV,Blood|Plasma,-,-,2022-05-18,https://pubmed.ncbi.nlm.nih.gov/36032099/,"The size exclusion method (SEC) was used to separate the exosomes. Briefly, after 0.8 μm filtration, 1 ml plasma sample was diluted with 1.5 times PBS and then purified by Exosupur exclusion column (Echobiotech, China) following the manufacturer’s instructions. The sample was then eluted with 0.1M PBS, and 2ml of the target fraction was collected. Finally, the exosome solution was concentrated (200 μL) through an Amicon® ultrafiltration tube with a molecular weight cutoff of 100kDa (Merck, Germany).",Homo sapiens (human),get samples from human
PRJNA838770,SRR19278998,sEV,Blood|Plasma,-,-,2022-05-18,https://pubmed.ncbi.nlm.nih.gov/36032099/,"The size exclusion method (SEC) was used to separate the exosomes. Briefly, after 0.8 μm filtration, 1 ml plasma sample was diluted with 1.5 times PBS and then purified by Exosupur exclusion column (Echobiotech, China) following the manufacturer’s instructions. The sample was then eluted with 0.1M PBS, and 2ml of the target fraction was collected. Finally, the exosome solution was concentrated (200 μL) through an Amicon® ultrafiltration tube with a molecular weight cutoff of 100kDa (Merck, Germany).",Homo sapiens (human),get samples from human
PRJNA838770,SRR19278999,sEV,Blood|Plasma,-,-,2022-05-18,https://pubmed.ncbi.nlm.nih.gov/36032099/,"The size exclusion method (SEC) was used to separate the exosomes. Briefly, after 0.8 μm filtration, 1 ml plasma sample was diluted with 1.5 times PBS and then purified by Exosupur exclusion column (Echobiotech, China) following the manufacturer’s instructions. The sample was then eluted with 0.1M PBS, and 2ml of the target fraction was collected. Finally, the exosome solution was concentrated (200 μL) through an Amicon® ultrafiltration tube with a molecular weight cutoff of 100kDa (Merck, Germany).",Homo sapiens (human),get samples from human
PRJNA838770,SRR19279000,sEV,Blood|Plasma,-,-,2022-05-18,https://pubmed.ncbi.nlm.nih.gov/36032099/,"The size exclusion method (SEC) was used to separate the exosomes. Briefly, after 0.8 μm filtration, 1 ml plasma sample was diluted with 1.5 times PBS and then purified by Exosupur exclusion column (Echobiotech, China) following the manufacturer’s instructions. The sample was then eluted with 0.1M PBS, and 2ml of the target fraction was collected. Finally, the exosome solution was concentrated (200 μL) through an Amicon® ultrafiltration tube with a molecular weight cutoff of 100kDa (Merck, Germany).",Homo sapiens (human),get samples from human
PRJNA838770,SRR19279001,sEV,Blood|Plasma,-,-,2022-05-18,https://pubmed.ncbi.nlm.nih.gov/36032099/,"The size exclusion method (SEC) was used to separate the exosomes. Briefly, after 0.8 μm filtration, 1 ml plasma sample was diluted with 1.5 times PBS and then purified by Exosupur exclusion column (Echobiotech, China) following the manufacturer’s instructions. The sample was then eluted with 0.1M PBS, and 2ml of the target fraction was collected. Finally, the exosome solution was concentrated (200 μL) through an Amicon® ultrafiltration tube with a molecular weight cutoff of 100kDa (Merck, Germany).",Homo sapiens (human),get samples from human
PRJNA838770,SRR19279002,sEV,Blood|Plasma,-,-,2022-05-18,https://pubmed.ncbi.nlm.nih.gov/36032099/,"The size exclusion method (SEC) was used to separate the exosomes. Briefly, after 0.8 μm filtration, 1 ml plasma sample was diluted with 1.5 times PBS and then purified by Exosupur exclusion column (Echobiotech, China) following the manufacturer’s instructions. The sample was then eluted with 0.1M PBS, and 2ml of the target fraction was collected. Finally, the exosome solution was concentrated (200 μL) through an Amicon® ultrafiltration tube with a molecular weight cutoff of 100kDa (Merck, Germany).",Homo sapiens (human),get samples from human
